#SampleID	env_package	empo_1	empo_2	empo_3	is_emp	is_agp
2192.H03a.Nose.1476.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000002219	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H06b.Bathroom.Door.Knob.3174.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000074235	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Kitchen.Floor.2714.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H03a.Kitchen.Counter.1441.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Foot.206.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Bedroom.Floor.4108.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
864.8.OTC.addV.addG.noW.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
2192.H01a.Hand.271.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07a.Cat.Fur.3758.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Hand.1399.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Nose.2748.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07a.Nose.3753.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Hand.295.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Nose.2865.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000021801	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H07b.Front.Door.Knob.4109.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Nose.3111.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Foot.4067.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000012814	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H06b.Hand.3055.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Kitchen.Light.Switch.291.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000109927	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H02a.Front.Door.Knob.917.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000051145	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H02a.Foot.896.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000052862	human-oral	Host-associated	Animal	Animal secretion	False	True
10317.000038341	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000105667	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000053467	human-oral	Host-associated	Animal	Animal secretion	False	True
894.GV998.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut	True	False
10317.000059035	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Nose.2844.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H04a.Kitchen.Floor.2066.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Kitchen.Counter.2737.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000072274	human-gut	Host-associated	Animal	Animal distal gut	False	True
894.SV1731.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H07b.Front.Door.Knob.4157.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Hand.2815.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000043178	human-oral	Host-associated	Animal	Animal secretion	False	True
10317.000075923	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000097261	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H07b.Hand.3991.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000067982	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H06b.Front.Door.Knob.3269.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H02a.Hand.751.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000015650	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H01a.Hand.328.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Kitchen.Light.Switch.2475.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07b.Nose.4185.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000108740	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000063278	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Front.Door.Knob.2501.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000005788	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000028458	human-gut	Host-associated	Animal	Animal distal gut	False	True
894.UY686.lane3.NoIndex.L003	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H05a.Foot.2435.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Front.Door.Knob.1397.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000012863	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H03a.Front.Door.Knob.1517.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H02a.Kitchen.Floor.602.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
550.L4S199.s.4.sequence	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000017759	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000062154	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H04a.Foot.2006.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05a.Kitchen.Light.Switch.5002.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000012540	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H04a.Bedroom.Floor.1924.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H04a.Nose.1908.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Bedroom.Floor.244.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000047880	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Kitchen.Light.Switch.2595.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000006942	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H07a.Cat.Fur.3662.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07a.Kitchen.Counter.3721.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Foot.62.lane1.NoIndex.L001	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000097318	human-oral	Host-associated	Animal	Animal secretion	False	True
1747.DZF.6132012.TJ.side.basking.rock	built environment	Free-living	Non-saline	Surface (non-saline)	True	False
2192.H06b.Front.Door.Knob.3053.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Kitchen.Counter.3241.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000068807	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H07b.Nose.4068.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Nose.4137.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H04a.Dog.Nose.2106.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Foot.86.lane1.NoIndex.L001	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Foot.2891.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
894.UY782.lane3.NoIndex.L003	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H04a.Dog.Foot.2111.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Foot.41.lane1.NoIndex.L001	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000038217	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000033526	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Kitchen.Floor.2546.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Bedroom.Floor.3076.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Kitchen.Counter.2809.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Nose.3108.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000107724	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H06b.Bedroom.Floor.3292.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000105292	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H03a.Nose.1431.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Foot.1232.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Kitchen.Floor.3866.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H04a.Foot.2072.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Cat.Fur.3998.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Bedroom.Floor.1300.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Nose.3297.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000001770	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Kitchen.Light.Switch.2715.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000096913	human-skin	Host-associated	Animal	Animal surface	False	True
864.7.CON.addV.addG.noW.B.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
10317.000022190	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000004284	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H07b.Foot.4016.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06b.Kitchen.Floor.3194.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06a.Foot.3032.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
1721.B12M	soil	Free-living	Non-saline	Soil (non-saline)	True	False
2192.H01a.Foot.326.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Nose.3873.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Foot.2867.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07a.Cat.Fur.3734.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Kitchen.Light.Switch.75.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Kitchen.Floor.2762.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05a.Nose.5011.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
864.11.OTC.addV.noG.addW.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
1747.DZF.6202012.RJ.log	built environment	Free-living	Non-saline	Surface (non-saline)	True	False
2192.H06a.Kitchen.Counter.3001.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H03a.Kitchen.Floor.1490.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Nose.2484.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Front.Door.Knob.2549.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000098359	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000016373	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000020708	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000098357	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H01a.Nose.210.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000066824	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Nose.2745.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
894.UY918.lane3.NoIndex.L003	host-associated	Host-associated	Animal	Animal distal gut	True	False
10317.000052290	human-oral	Host-associated	Animal	Animal secretion	False	True
2192.H04a.Front.Door.Knob.1805.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07a.Hand.3751.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Front.Door.Knob.1493.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000098430	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000007569	human-skin	Host-associated	Animal	Animal surface	False	True
1064.H.CV341	host-associated	Host-associated	Animal	Animal corpus	True	False
2192.H01a.Hand.133.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000046279	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000048955	human-oral	Host-associated	Animal	Animal secretion	False	True
2192.H06b.Bedroom.Floor.3244.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Kitchen.Floor.2402.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000112224	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Bedroom.Floor.2932.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000098351	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H02a.Foot.800.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
894.UY653.lane3.NoIndex.L003.r	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H02a.Bathroom.Door.Knob.750.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H02a.Foot.608.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000033508	human-gut	Host-associated	Animal	Animal distal gut	False	True
894.SV1729.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H04a.Bedroom.Floor.1852.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000022391	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000041780	human-gut	Host-associated	Animal	Animal distal gut	False	True
910.CuracaoTurf6B	host-associated	Host-associated	Animal	Animal corpus	True	False
10317.000096833	human-skin	Host-associated	Animal	Animal surface	False	True
945.P9.C11.lane3.NoIndex.L003	water	Free-living	Non-saline	Water (non-saline)	True	False
10317.000026594	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000068329	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000014492	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H06b.Bedroom.Floor.3148.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07a.Front.Door.Knob.3773.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000017390	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H04a.Foot.2102.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06b.Foot.3374.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Kitchen.Floor.3842.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Foot.227.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06b.Nose.3159.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06b.Front.Door.Knob.3365.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
755.EF.BETA.26.05.11.lane1.NoIndex.L001	water	Free-living	Non-saline	Water (non-saline)	True	False
10317.000050435	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000038250	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H04a.Dog.Nose.2112.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Nose.129.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Front.Door.Knob.2453.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000152393	human-skin	Host-associated	Animal	Animal surface	False	True
894.YY1861.lane2.NoIndex.L002	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H01a.Bedroom.Floor.316.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H03a.Front.Door.Knob.1325.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
864.13.OTC.addV.noG.addW.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
10317.000027200	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Hand.2578.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Hand.1519.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Kitchen.Counter.1201.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Hand.2626.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000030124	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H03a.Front.Door.Knob.1373.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06a.Foot.3035.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Bathroom.Door.Knob.1206.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
945.P9.H9.lane3.NoIndex.L003	water	Free-living	Non-saline	Water (non-saline)	True	False
755.SSFB.L3.D5.26.07.11.lane1.NoIndex.L001	built environment	Free-living	Non-saline	Soil (non-saline)	True	False
2192.H07a.Nose.3636.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000065403	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Kitchen.Light.Switch.2643.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
894.YY1874.lane2.NoIndex.L002	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H05b.Foot.2819.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Foot.2408.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000017364	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H06b.Kitchen.Floor.3074.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07b.Foot.3851.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000007287	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000074775	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000027356	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H03a.Kitchen.Floor.1274.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000042778	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Foot.2720.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000047695	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H04a.Kitchen.Counter.2065.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Bedroom.Floor.3268.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000071492	human-oral	Host-associated	Animal	Animal secretion	False	True
2192.H07b.Cat.Paw.3853.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Nose.1236.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Nose.2913.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Foot.2963.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H04a.Front.Door.Knob.1853.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Foot.3206.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H04a.Kitchen.Floor.1826.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000054274	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000030164	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H02a.Kitchen.Light.Switch.627.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Nose.2724.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Kitchen.Counter.217.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07b.Foot.4040.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000050378	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Foot.2648.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000050448	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Kitchen.Floor.2954.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Kitchen.Floor.146.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000005234	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H06b.Nose.3132.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Kitchen.Counter.1225.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000059920	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000098438	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000066642	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000049982	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Bedroom.Floor.2476.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000015700	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Hand.2743.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Nose.2529.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07a.Nose.3684.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000028137	human-gut	Host-associated	Animal	Animal distal gut	False	True
1747.200080.92812.skin	host-associated	Host-associated	Animal	Animal surface	True	False
2192.H04a.Bedroom.Floor.2092.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
1747.L00376.81512.head	host-associated	Host-associated	Animal	Animal surface	True	False
10317.000041070	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000053362	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H01a.Kitchen.Counter.73.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Hand.178.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Kitchen.Counter.2593.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H03a.Bathroom.Door.Knob.1494.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000031566	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H01a.Hand.184.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Hand.229.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
864.10.CON.addV.noG.noW.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
