#SampleID	swab_id	orig_sample_name	avg_percent_humidity	total_precipitation_in	total_precipitation_cm	weather_station	description	processing_control	control	gDNA_concentration	shotgon_library_concentration	16S_seqs	reads_used	below_threshold	extraction_plate	days_since_placement	season	geo_loc_name	soil_max_temp_c	soil_mean_temp_c	soil_min_temp_c	swab_barcode1	swab_barcode2	temp_c_max	temp_c_min	temp_c_average	time_since_death_to_cooling	tot_mass	soil_add_0c	soil_add_4c	soil_add_5c	soil_add_6c	soil_control	soil_temp_average	soil_temp_max	soil_temp_min	weight	maggot_notes	maggots	megyesi_score	megyesi_stage	notes	placement_head_direction	qiita_study_id	sample_collection_date	sample_type	sample_type_soil_control	scavenging_activity	scavenging_notes	scientific_name	sex	host_scientific_name	host_subject_id	validation_set	Testing	host_taxa_id	humidity_max	humidity_min	initial_body_condition	latitude	longitude	donor_storage	donor_storage_days	env_type	height	host_common_name	body_site	cause_of_death	country	date_of_death	days_of_decomposition	add_0c	add_0c_group	facility	add_facility	old_add_0c	old_add_4c	old_add_5c	age	ahd_humidity	ambient_max_temp_c	ambient_min_temp_c	ambient_temp_avg	approximate_age	autopsy	qiita_study	reextracted	hiseq_or_novaseq_better	shotgun_barcode_used
#q2:types	categorical	categorical	numeric	numeric	numeric	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	categorical	categorical	numeric	categorical	categorical	numeric	numeric	numeric	categorical	categorical	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical	numeric	numeric	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical	categorical	categorical	categorical
63778_S1675_L003	63778	soil.hip.SHSU.2017.046.2018.01.02.day15	46.7	0	0	Easterwood Airport Station	soil.hip	n	n	0.008	5.885	17025	1698017	n	50	14	winter	USA:Texas:Huntsville				63778	63779	-1.1112	-3.3336	-2.222222222		186					n						y	12	active		north_west	11489	1/2/18	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	15	109.2	active	STAFS	activeSTAFS	106.3888889	47.22222222	33.88888889	68	48					n	11489	n	novaseq	63778
63776_S1671_L003	63776	soil.hip.SHSU.2017.046.2017.12.31.day13	93.8	0.01	0.0254	Easterwood Airport Station	soil.hip	n	n	0.011	6.871	20255	722781	n	50	12	winter	USA:Texas:Huntsville				63776	63777	7.7784	0	3.888888889		186					n						y	11	active		north_west	11489	12/31/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	13	109.15	active	STAFS	activeSTAFS	106.3888889	47.22222222	33.88888889	68	87					n	11489	n	novaseq	63776
63758_S1686_L003	63758	soil.hip.SHSU.2017.046.2017.01.01.day14	55.3	0	0	Easterwood Airport Station	soil.hip	n	n	0.084	20.532	26106	755626	n	49	13	winter	USA:Texas:Huntsville				63758	63759	2.778	-3.3336	-0.277777778		186					n						y	12	active		north_west	11489	1/1/18	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	14	109.2	active	STAFS	activeSTAFS	106.3888889	47.22222222	33.88888889	68	55					n	11489	n	novaseq	63758
63756_S1680_L003	63756	soil.hip.SHSU.2017.046.2017.12.30.day12	92.3	0	0	Easterwood Airport Station	soil.hip	n	n	1.053	6.571	23098	2651923	n	49	11	winter	USA:Texas:Huntsville				63756	63757	10.5564	7.7784	9.166666667		186					n						y	11	active		north_west	11489	12/30/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	12	105	active	STAFS	activeSTAFS	102.5	47.22222222	33.88888889	68	92				68	n	11489	n	novaseq	63756
63742_S1660_L003	63742	soil.hip.SHSU.2017.046.2017.12.29.day11	67.6	0	0	Easterwood Airport Station	soil.hip	n	n	0.226	31.453	33383	563661	n	50	10	winter	USA:Texas:Huntsville				63742	63743	10.5564	3.8892	7.222222222		186					n						y	11	active		north_west	11489	12/29/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	11	95.8	active	STAFS	activeSTAFS	93.33333333	42.05555556	33.88888889	68	69				60	n	11489	n	novaseq	63742
63740_S1687_L003	63740	soil.hip.SHSU.2017.046.2017.12.27.day9	80.3	0.08	0.2032	Easterwood Airport Station	soil.hip	n	n	0.06	18.106	21482	597368	n	49	8	winter	USA:Texas:Huntsville				63740	63741	5.556	2.778	4.166666667		186					n						y	10	active		north_west	11489	12/27/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	9	83.6	active	STAFS	activeSTAFS	81.94444444	42.05555556	33.88888889	68	84					n	11489	n	novaseq	63740
63723_S2239_L003	63723	soil.hip.SHSU.2017.046.2017.12.28.day10	67.9	0	0	Easterwood Airport Station	soil.hip	n	n	0.035	0.077	16824	6681312	n	50	9	winter	USA:Texas:Huntsville				45065	63723	5.556	2.778	4.166666667		186					n						y	10	active		north_west	11489	12/28/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	10	88.3	active	STAFS	activeSTAFS	86.11111111	42.05555556	33.88888889	68	72					n	11489	y	novaseq	63723
63720_S1647_L003	63720	soil.hip.SHSU.2017.046.2017.12.26.day8	93.4	0.02	0.0508	Easterwood Airport Station	soil.hip	n	n	0.023	7.968	10031	1617474	n	51	7	winter	USA:Texas:Huntsville				63720	63721	8.8896	5.0004	6.944444444		186					n						y	10	active		north_west	11489	12/26/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	8	79.15	active	STAFS	activeSTAFS	77.77777778	42.05555556	33.88888889	68	93					n	11489	n	novaseq	63720
63705_S2198_L003	63705	soil.hip.SHSU.2017.046.2017.12.23.day5	71.6	0.09	0.2286	Easterwood Airport Station	soil.hip	n	n	0	7.328	15654	11276631	n	49	4	winter	USA:Texas:Huntsville				63704	63705	12.2232	2.778	7.5		186					n						y	6	early		north_west	11489	12/23/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	5	57.45	active	STAFS	activeSTAFS	56.38888889	36.88888889	33.88888889	68	73					n	11489	y	novaseq	63705
63687_S2220_L003	63687	soil.hip.SHSU.2017.046.2017.12.24.day6	73.7	0	0	Easterwood Airport Station	soil.hip	n	n	0	2.035	14100	12477749	n	49	5	winter	USA:Texas:Huntsville				63686	63687	15.5568	2.778	9.166666667		186					n						y	7	active		north_west	11489	12/24/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	6	66.6	active	STAFS	activeSTAFS	65.55555556	42.05555556	33.88888889	68	76					n	11489	y	novaseq	63687
63670_S1670_L003	63670	soil.hip.SHSU.2017.046.2017.12.21.day3	84.8	0	0	Easterwood Airport Station	soil.hip	n	n	0.123	21.499	16658	1122136	n	50	2	winter	USA:Texas:Huntsville				63670	63671	23.8908	11.112	17.5		186					n						n	6	early		north_west	11489	12/21/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	3	34.7	early	STAFS	earlySTAFS	34.44444444	26.44444444	24.44444444	68	78					n	11489	n	novaseq	63670
63668_S1685_L003	63668	soil.hip.SHSU.2017.046.2017.12.19.day1	94.2	0.26	0.6604	Easterwood Airport Station	soil.hip	n	n	0.093	17.397	27382	1072692	n	49	0	winter	USA:Texas:Huntsville				63668	63669	23.8908	16.668	20.27777778		186					n						n	3	day0		north_west	11489	12/19/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	1	0	day0	STAFS	day0STAFS	0	0	0	68	92					n	11489	n	novaseq	63668
63650_S1634_L003	63650	soil.hip.SHSU.2017.046.2017.12.20.day2	77.9	0.44	1.1176	Easterwood Airport Station	soil.hip	n	n	0.024	12.109	22070	1106551	n	51	1	winter	USA:Texas:Huntsville				63650	63651	22.7796	11.112	16.94444444		186					n						n	6	early		north_west	11489	12/20/17	soil	soil	n	in cage	soil metagenome	female	not_applicable	2017.046	y	Test	not_applicable			fresh	30.745	-95.476	cooled			168	not_applicable	soil.hip		USA	12/10/17	2	17.2	early	STAFS	earlySTAFS	16.94444444	12.94444444	11.94444444	68	83				60	n	11489	n	novaseq	63650
63634_S1649_L003	63634	soil.hip.SHSU.2017.045.2017.12.31.day20	93.8	0.01	0.0254	Easterwood Airport Station	soil.hip	n	n	0.262	35.633	21220	618692	n	51	19	winter	USA:Texas:Huntsville				63634	63635	7.777777778	0	3.888888889		180					n					y	y	12	active		north_west	11489	12/31/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	20	191.6	active	STAFS	activeSTAFS	186.9444444	93.05555556	74.72222222	60	87				68	n	11489	n	novaseq	63634
63633_S2228_L003	63633	soil.hip.SHSU.2017.045.2017.12.29.day18	67.6	0	0	Easterwood Airport Station	soil.hip	n	n	0	1.676	18428	18208820	n	51	17	winter	USA:Texas:Huntsville				63632	63633	10.55555556	3.888888889	7.222222222		180					n					y	y	12	active		north_west	11489	12/29/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	18	178.25	active	STAFS	activeSTAFS	173.8888889	87.88888889	74.72222222	60	69					n	11489	y	novaseq	63633
63614_S1665_L003	63614	soil.hip.SHSU.2017.045.2017.12.30.day19	92.3	0	0	Easterwood Airport Station	soil.hip	n	n	0.276	25.065	35058	519157	n	50	18	winter	USA:Texas:Huntsville				63614	63615	10.55555556	7.777777778	9.166666667		180					n					y	y	12	active		north_west	11489	12/30/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	19	187.45	active	STAFS	activeSTAFS	183.0555556	93.05555556	74.72222222	60	92					n	11489	n	novaseq	63614
63612_S1650_L003	63612	soil.hip.SHSU.2017.045.2017.12.28.day17	67.9	0	0	Easterwood Airport Station	soil.hip	n	n	0.011	6.531	18093	923401	n	51	16	winter	USA:Texas:Huntsville				63612	63613	5.555555556	2.777777778	4.166666667		180					n					y	y	12	active		north_west	11489	12/28/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	17	170.75	active	STAFS	activeSTAFS	166.6666667	87.88888889	74.72222222	60	72					n	11489	n	novaseq	63612
63598_S2231_L003	63598	soil.hip.CMU.16.15.2016.12.day7	72.6	0	0	Grand Junction Regional Airport Station	soil.hip	n	n	0.015	0.737	8214	1010784	n	28	6	winter	USA:Colorado:Grand_Junction				63595	63598	1.452777778	-10.33611111	-4.441666667		126	18.19055556	1.816388889	0.441111111	0	n					n	n	10	active			11489	12/18/16	soil	soil	n		soil metagenome	male	not_applicable	Mr. 16-15	y	Test	not_applicable	81.2	45.4	Clothed	39.08	-108.55	cooled	30		67	not_applicable	soil.hip	Arrythmia	USA	11/18/16	7	12.45	early	FIRS	earlyFIRS	13.71805556	3.921666667	1.994722222	69					69	n	11489	y	novaseq	63598
62063_S1904_L003	62063	soil.hip.CMU.16.15.2016.12.day6	68.6	0.29	0.7366	Grand Junction Regional Airport Station	soil.hip	n	n	0.019	10.139	32184	1684123	n	29	5	winter	USA:Colorado:Grand_Junction				62063	62066	1.262222222	-5.573888889	-2.155833333		126	16.9075	1.816388889	0.441111111	0	n					n	n	6	early			11489	12/17/16	soil	soil	n		soil metagenome	male	not_applicable	Mr. 16-15	y	Test	not_applicable	91.3	45.8	Clothed	39.08	-108.55	cooled	30		67	not_applicable	soil.hip	Arrythmia	USA	11/18/16	6	12.45	early	FIRS	earlyFIRS	13.71805556	3.921666667	1.994722222	69					69	n	11489	n	novaseq	62063
62048_S1615_L003	62048	soil.hip.CMU.17.01.2017.01.day9	97.1	0.06	0.1524	Grand Junction Regional Airport Station	soil.hip	n	n	1.904	4.598	24814	4116610	n	25	8	winter	USA:Colorado:Grand_Junction				62048	62049	5.923888889	-1.1	2.411944444		105	8.176666667	0.687222222	0	0	n					n	n	7	active			11489	1/12/17	soil	soil	n		soil metagenome	female	not_applicable	Mrs. 17-01	n	Train	not_applicable	94.4	74.5		39.08	-108.55	cooled	1		63	not_applicable	soil.hip	Stroke	USA	1/3/17	9	8.65	early	FIRS	earlyFIRS	9.291388889	2.879444444	1.879444444	91					91	n	11489	n	novaseq	62048
62030_S1901_L003	62030	soil.hip.CMU.17.01.2017.01.day10	98	0.03	0.0762	Grand Junction Regional Airport Station	soil.hip	n	n	0.002	5.792	32419	1488327	n	29	9	winter	USA:Colorado:Grand_Junction				62030	62031	7.87	1.343888889	4.606944444		105	10.32861111	0.687222222	0	0	n					n	n	7.5	active			11489	1/13/17	soil	soil	n		soil metagenome	female	not_applicable	Mrs. 17-01	n	Train	not_applicable	96.3	74.3		39.08	-108.55	cooled	1		63	not_applicable	soil.hip	Stroke	USA	1/3/17	10	12.25	early	FIRS	earlyFIRS	13.89833333	3.486388889	1.879444444	91					91	n	11489	y	novaseq	62030
62028_S1937_L003	62028	soil.hip.CMU.17.01.2017.01.day8	79.6	0	0	Grand Junction Regional Airport Station	soil.hip	n	n	0.27	8.686	23818	2761361	n	28	7	winter	USA:Colorado:Grand_Junction				62028	62029	12.17111111	1.587777778	6.879444444		105	6.942777778	0.687222222	0	0	n					n	n	7	active			11489	1/11/17	soil	soil	n		soil metagenome	female	not_applicable	Mrs. 17-01	n	Train	not_applicable	82.6	35		39.08	-108.55	cooled	1		63	not_applicable	soil.hip	Stroke	USA	1/3/17	8	6.15	early	FIRS	earlyFIRS	6.879444444	2.879444444	1.879444444	91					91	n	11489	n	novaseq	62028
62012_S1995_L003	62012	soil.hip.CMU.17.01.2017.01.day4	75.3	0	0	Grand Junction Regional Airport Station	soil.hip	n	n	0.12	19.886	37218	1705914	n	26	3	winter	USA:Colorado:Grand_Junction				62012	62013	-5.172222222	-18.03222222	-11.60222222		105	6.478888889	0.687222222	0	0	n					n	n		NA			11489	1/7/17	soil	soil		No visible surfaces	soil metagenome	female	not_applicable	Mrs. 17-01	n	Train	not_applicable	77.4	52.6		39.08	-108.55	cooled	1		63	not_applicable	soil.hip	Stroke	USA	1/3/17	4	0	early	FIRS	earlyFIRS	0	0	0	91					91	n	11489	n	novaseq	62012
61992_S1893_L003	61992	soil.hip.CMU.17.01.2017.01.day3	65.4	0.28	0.7112	Grand Junction Regional Airport Station	soil.hip	n	n	0.3	15.102	42007	1678005	n	29	2	winter	USA:Colorado:Grand_Junction				61992	61993	-6.072777778	-20.64222222	-13.3575		105	6.081666667	0.687222222	0	0	n					n	n		NA			11489	1/6/17	soil	soil		No visible surfaces	soil metagenome	female	not_applicable	Mrs. 17-01	n	Train	not_applicable	75.2	49.7		39.08	-108.55	cooled	1		63	not_applicable	soil.hip	Stroke	USA	1/3/17	3	0	early	FIRS	earlyFIRS	0	0	0	91					91	n	11489	n	novaseq	61992
61978_S1930_L003	61978	soil.hip.CMU.17.01.2017.01.day2	87.5	0	0	Grand Junction Regional Airport Station	soil.hip	n	n	1.491	20.909	56777	740754	n	28	1	winter	USA:Colorado:Grand_Junction				61978	61979	1.507222222	-8.497222222	-3.495		105	4.687222222	0.687222222	0	0	n					n	n		NA			11489	1/5/17	soil	soil		snowing heavily- body surfaces not visible	soil metagenome	female	not_applicable	Mrs. 17-01	n	Train	not_applicable	94.9	77.5		39.08	-108.55	cooled	1		63	not_applicable	soil.hip	Stroke	USA	1/3/17	2	0	early	FIRS	earlyFIRS	0	0	0	91					91	n	11489	n	novaseq	61978
61959_S2154_L006	61959	soil.hip.CMU.17.01.2017.01.day1	82.3	0	0	Grand Junction Regional Airport Station	soil.hip	n	n	0.03	0.661	24960	6041145	n	28	0	winter	USA:Colorado:Grand_Junction				61958	61959	4.843888889	-1.47	1.686944444		105	0	0	0	0	n					n	n	3.5	day0			11489	1/4/17	soil	soil	n		soil metagenome	female	not_applicable	Mrs. 17-01	n	Train	not_applicable	86.9	62.5		39.08	-108.55	cooled	1		63	not_applicable	soil.hip	Stroke	USA	1/3/17	1	0	day0	FIRS	day0FIRS	0	0	0	91					91	n	11489	y	hiseq	61959
61957_S2205_L003	61957	soil.hip.CMU.16.15.2016.12.day20	82	0	0	Grand Junction Regional Airport Station	soil.hip	n	n	0.014	0.408	28927	1365445	n	27	19	winter	USA:Colorado:Grand_Junction				61956	61957	8.368888889	-7.026111111	0.671388889		126	23.08833333	1.816388889	0.441111111	0	n					n	n	11	active			11489	12/31/16	soil	soil	n		soil metagenome	male	not_applicable	Mr. 16-15	y	Test	not_applicable	89.6	42.4	Clothed	39.08	-108.55	cooled	30		67	not_applicable	soil.hip	Arrythmia	USA	11/18/16	20	19.35	early	FIRS	earlyFIRS	24.77444444	6.153888889	3.226944444	69					69	n	11489	y	novaseq	61957
61940_S1999_L003	61940	soil.hip.CMU.16.15.2016.12.day17	79.7	0	0	Grand Junction Regional Airport Station	soil.hip	n	n	0.018	6.403	1827	1508372	n	26	16	winter	USA:Colorado:Grand_Junction				61940	61941	6.407777778	-8.098888889	-0.845555556		126	22.21722222	1.816388889	0.441111111	0	n					n	n	12	active			11489	12/28/16	soil	soil	n		soil metagenome	male	not_applicable	Mr. 16-15	y	Test	not_applicable	88.4	45.8	Clothed	39.08	-108.55	cooled	30		67	not_applicable	soil.hip	Arrythmia	USA	11/18/16	17	18.8	early	FIRS	earlyFIRS	23.69055556	6.153888889	3.226944444	69					69	n	11489	n	novaseq	61940
61923_S2174_L003	61923	soil.hip.CMU.16.15.2016.12.day18	77.3	0	0	Grand Junction Regional Airport Station	soil.hip	n	n	0.007	0.653	21363	663284	n	27	17	winter	USA:Colorado:Grand_Junction				61922	61923	8.891111111	-8.066111111	0.4125		126	22.44833333	1.816388889	0.441111111	0	n					n	n	12	active			11489	12/29/16	soil	soil	n		soil metagenome	male	not_applicable	Mr. 16-15	y	Test	not_applicable	89.9	39.6	Clothed	39.08	-108.55	cooled	30		67	not_applicable	soil.hip	Arrythmia	USA	11/18/16	18	19.35	early	FIRS	earlyFIRS	24.10305556	6.153888889	3.226944444	69					69	n	11489	y	novaseq	61923
61921_S2267_L003	61921	soil.hip.CMU.16.15.2016.12.day16	72.5	0	0	Grand Junction Regional Airport Station	soil.hip	n	n	0.019	1.992	17508	1849064	n	28	15	winter	USA:Colorado:Grand_Junction				61920	61921	3.353888889	-7.607777778	-2.126944444		126	22.01416667	1.816388889	0.441111111	0	n					n	n	11	active			11489	12/27/16	soil	soil	n		soil metagenome	male	not_applicable	Mr. 16-15	y	Test	not_applicable	84.8	38.2	Clothed	39.08	-108.55	cooled	30		67	not_applicable	soil.hip	Arrythmia	USA	11/18/16	16	18.8	early	FIRS	earlyFIRS	23.69055556	6.153888889	3.226944444	69					69	n	11489	y	novaseq	61921
61884_S1896_L003	61884	soil.hip.CMU.16.15.2016.12.day12	98.1	0.27	0.6858	Grand Junction Regional Airport Station	soil.hip	n	n	0.625	5.41	16397	2675330	n	29	11	winter	USA:Colorado:Grand_Junction				61884	61885	3.827222222	-1.612777778	1.107222222		126	18.22638889	1.816388889	0.441111111	0	n					n	n	10	active			11489	12/23/16	soil	soil	n		soil metagenome	male	not_applicable	Mr. 16-15	y	Test	not_applicable	97.4	82.7	Clothed	39.08	-108.55	cooled	30		67	not_applicable	soil.hip	Arrythmia	USA	11/18/16	12	12.7	early	FIRS	earlyFIRS	14.82527778	3.921666667	1.994722222	69					69	n	11489	n	novaseq	61884
61869_S2035_L003	61869	soil.hip.CMU.16.15.2016.12.day9	73.1	0	0	Grand Junction Regional Airport Station	soil.hip	n	n	0	0.065	10529	1169737	n	28	8	winter	USA:Colorado:Grand_Junction				61868	61869	4.74	-10.68611111	-2.973055556		126	18.22638889	1.816388889	0.441111111	0	n					n	n	9	active			11489	12/20/16	soil	soil	n		soil metagenome	male	not_applicable	Mr. 16-15	y	Test	not_applicable	85.5	38.4	Clothed	39.08	-108.55	cooled	30		67	not_applicable	soil.hip	Arrythmia	USA	11/18/16	9	12.45	early	FIRS	earlyFIRS	13.71805556	3.921666667	1.994722222	69					69	n	11489	y	novaseq	61869
61832_S1534_L003	61832	soil.hip.UTK.K016.06.2016.10.25.day21	50.1	0	0	McGhee Tyson Airport Station	soil.hip	n	n	0.063	9.173	19086	3464427	n	17	20	fall	USA:Tennessee:Knoxville				61832	61833	23.871	10.46	15.16	2 days	115					n	18.706	19.621	17.887		not_applicable	y	21	advanced		south	11489	10/25/16	soil	soil	y	no new	soil metagenome	male	not_applicable	UTK.K016.06	y	Test	not_applicable	78.921	23.193	fair	35.940959	-83.939774	y	3			not_applicable	soil.hip	Lung Cx	USA	10/3/16	21	373.2	advanced	ARF	advancedARF				58						n	11489	n	novaseq	61832
61812_S1528_L003	61812	soil.hip.UTK.K016.06.2016.10.24.day20	47.2	0	0	McGhee Tyson Airport Station	soil.hip	n	n	0.657	4.124	15943	3661969	n	17	19	fall	USA:Tennessee:Knoxville				61812	61813	27.622	11.141	18.174	2 days	115					n	18.265	19.677	17.223		not_applicable	y	22	advanced		south	11489	10/24/16	soil	soil	y	no new	soil metagenome	male	not_applicable	UTK.K016.06	y	Test	not_applicable	78.634	28.061	fair	35.940959	-83.939774	y	3			not_applicable	soil.hip	Lung Cx	USA	10/3/16	20	357.1	advanced	ARF	advancedARF				58					63	n	11489	n	novaseq	61812
61796_S1540_L003	61796	soil.hip.UTK.K016.06.2016.10.21.day17	75	0.05	0.127	McGhee Tyson Airport Station	soil.hip	n	n	0.108	11.51	17484	2453293	n	17	16	fall	USA:Tennessee:Knoxville				61796	61797	21.604	11.577	15.345	2 days	115					n	21.376	23.916	19.486		not_applicable	y	20	advanced		south	11489	10/21/16	soil	soil	y	no new	soil metagenome	male	not_applicable	UTK.K016.06	y	Test	not_applicable	97.309	42.338	fair	35.940959	-83.939774	y	3			not_applicable	soil.hip	Lung Cx	USA	10/3/16	17	316.6	advanced	ARF	advancedARF				58		17.1	27.9	20.6	72	n	11489	n	novaseq	61796
61778_S1537_L003	61778	soil.hip.UTK.K016.06.2016.10.22.day18	54.8	0.09	0.2286	McGhee Tyson Airport Station	soil.hip	n	n	0.239	13.366	20072	1854140	n	17	17	fall	USA:Tennessee:Knoxville				61778	61779	19.683	7.452	11.678	2 days	115					n	18.001	19.486	17.492		not_applicable	y	20	advanced		south	11489	10/22/16	soil	soil	y	no new	soil metagenome	male	not_applicable	UTK.K016.06	y	Test	not_applicable	79.208	30.738	fair	35.940959	-83.939774	y	3			not_applicable	soil.hip	Lung Cx	USA	10/3/16	18	328.2	advanced	ARF	advancedARF				58		12.9	26.9	19.4	72	n	11489	n	novaseq	61778
61776_S1593_L003	61776	soil.hip.UTK.K016.06.2016.10.20.day16	59	0	0	McGhee Tyson Airport Station	soil.hip	n	n	0.171	10.623	26893	1586319	n	19	15	fall	USA:Tennessee:Knoxville				61776	61777	34.004	17.97	23.498	2 days	115					n	23.542	24.202	22.789		not_applicable	y	21	advanced		south	11489	10/20/16	soil	soil	y	not_applicable	soil metagenome	male	not_applicable	UTK.K016.06	y	Test	not_applicable	89.872	32.199	fair	35.940959	-83.939774	y	3			not_applicable	soil.hip	Lung Cx	USA	10/3/16	16	299.7	advanced	ARF	advancedARF				58		17.8	28.6	22.2	72	n	11489	n	novaseq	61776
61762_S1595_L003	61762	soil.hip.UTK.K016.06.2016.10.19.day15	59.9	0	0	McGhee Tyson Airport Station	soil.hip	n	n	0.323	7.949	33634	1535134	n	19	14	fall	USA:Tennessee:Knoxville				61762	61763	35.954	17.356	23.482	2 days	115					n	23.346	24.137	22.418		not_applicable	y	20	advanced		south	11489	10/19/16	soil	soil	y	not_applicable	soil metagenome	male	not_applicable	UTK.K016.06	y	Test	not_applicable	91.657	33.694	fair	35.940959	-83.939774	y	3			not_applicable	soil.hip	Lung Cx	USA	10/3/16	15	276	advanced	ARF	advancedARF				58					59	n	11489	n	novaseq	61762
61760_S1550_L003	61760	soil.hip.UTK.K016.06.2016.10.17.day13	67.7	0	0	McGhee Tyson Airport Station	soil.hip	n	n	0.04	4.043	15408	1794326	n	17	12	fall	USA:Tennessee:Knoxville				61760	61761	32.5	15.428	21.213	2 days	115					n	21.479	22.509	20.722		not_applicable	y	20	advanced		south	11489	10/17/16	soil	soil	y	no new	soil metagenome	male	not_applicable	UTK.K016.06	y	Test	not_applicable	94.335	34.965	fair	35.940959	-83.939774	y	3			not_applicable	soil.hip	Lung Cx	USA	10/3/16	13	229.7	advanced	ARF	advancedARF				58		12.9	28.4	19.4	64	n	11489	n	novaseq	61760
61742_S1597_L003	61742	soil.hip.UTK.K016.06.2016.10.18.day14	59.9	0	0	McGhee Tyson Airport Station	soil.hip	n	n	0.21	15.417	21243	2190449	n	19	13	fall	USA:Tennessee:Knoxville				61742	61743	32.35	15.963	22.506	2 days	115					n	22.833	23.965	21.9		not_applicable	y	20	advanced		south	11489	10/18/16	soil	soil	y	no new	soil metagenome	male	not_applicable	UTK.K016.06	y	Test	not_applicable	91.657	38.524	fair	35.940959	-83.939774	y	3			not_applicable	soil.hip	Lung Cx	USA	10/3/16	14	252.1	advanced	ARF	advancedARF				58		17.1	27.8	22	64	n	11489	n	novaseq	61742
61740_S1548_L003	61740	soil.hip.UTK.K016.06.2016.10.16.day12	61	0	0	McGhee Tyson Airport Station	soil.hip	n	n	0.04	6.23	15568	2832744	n	17	11	fall	USA:Tennessee:Knoxville				61740	61741	32.821	17.721	21.917	2 days	115					n	21.243	21.709	20.772		not_applicable	y	20	advanced		south	11489	10/16/16	soil	soil	y	not_applicable	soil metagenome	male	not_applicable	UTK.K016.06	y	Test	not_applicable	85.514	28.061	fair	35.940959	-83.939774	y	3			not_applicable	soil.hip	Lung Cx	USA	10/3/16	12	209.3	advanced	ARF	advancedARF				58					59	n	11489	n	novaseq	61740
